building_id,site_id,building_type,gross_floor_area,year_built,num_floors,occupancy_capacity,operating_schedule_type,hvac_system_type,lighting_power_density,plug_load_density,window_to_wall_ratio,infiltration_ach,orientation_deg,roof_exposure_factor,solar_pv_capacity,battery_capacity,critical_load_fraction,submetering_level
BLDG_4147382781AC,SITE_0001,hotel,20728.2,2019,6,1111,24_7,vrf,15.01,23.14,0.337,0.494,56.8,0.202,0.0,0.0,0.169,partial
BLDG_7B914089B781,SITE_0001,office,12693.4,2017,28,1269,office_hours,central_chiller,12.26,9.53,0.529,0.678,279.5,0.512,0.0,0.0,0.042,partial
BLDG_391E1A9D2E49,SITE_0001,office,7578.1,2004,28,757,office_hours,vrf,9.68,10.41,0.47,0.355,262.8,0.626,0.0,0.0,0.059,none
BLDG_353D16F54302,SITE_0001,retail,8423.3,2012,5,2105,retail_hours,split_ac,24.54,28.93,0.578,1.19,255.9,0.66,67.4,0.0,0.083,partial
BLDG_C85DFC431E68,SITE_0002,education,7288.4,1985,2,1457,school_calendar,split_ac,7.39,9.42,0.307,1.124,308.6,0.528,39.7,0.0,0.031,partial
BLDG_3EA6E790CB36,SITE_0002,retail,23739.0,2011,4,5934,retail_hours,central_chiller,14.48,16.45,0.416,0.924,167.7,0.792,0.0,0.0,0.09,partial
BLDG_BB96B7FB1456,SITE_0002,mixed_use,5261.5,1997,9,631,extended_hours,central_chiller,14.66,17.9,0.528,0.678,5.3,0.27,0.0,0.0,0.089,full
BLDG_2137A5E3B876,SITE_0002,education,12330.7,1995,1,2466,school_calendar,none,9.08,11.9,0.316,1.027,163.3,0.669,89.0,0.0,0.031,partial
BLDG_22A30FDCEC09,SITE_0003,mixed_use,22145.6,1988,13,2657,extended_hours,split_ac,16.4,16.53,0.382,0.384,319.6,0.385,0.0,0.0,0.103,partial
BLDG_F090925C23CB,SITE_0003,office,10694.3,1998,10,1069,office_hours,central_chiller,12.69,11.14,0.38,0.392,231.7,0.483,0.0,0.0,0.051,partial
BLDG_B6C414BCBB68,SITE_0003,retail,5179.1,1998,5,1294,retail_hours,split_ac,18.58,16.99,0.375,0.569,87.7,0.614,0.0,0.0,0.096,partial
BLDG_E5D0D3EEC91E,SITE_0003,office,13252.5,2020,2,1325,office_hours,vrf,10.1,14.63,0.582,0.394,41.4,0.343,42.1,0.0,0.054,partial
BLDG_5043911D9AAA,SITE_0003,hotel,25734.5,1988,19,1280,24_7,vrf,7.11,15.9,0.302,0.204,276.8,0.678,0.0,0.0,0.194,full
BLDG_A639D294C105,SITE_0004,hotel,1280.4,1994,5,75,24_7,central_chiller,12.55,24.53,0.47,0.348,45.8,0.431,0.0,0.0,0.213,partial
BLDG_2F6FDB7DF7CC,SITE_0004,retail,17813.2,2011,5,4453,retail_hours,central_chiller,24.66,26.24,0.663,0.737,58.3,0.82,277.3,0.0,0.077,none
BLDG_EABD2161AAAE,SITE_0004,office,13563.2,2000,25,1356,office_hours,split_ac,9.87,15.87,0.332,0.911,308.2,0.389,0.0,0.0,0.057,partial
BLDG_44384B9F5136,SITE_0004,mixed_use,9694.0,2010,9,1163,extended_hours,vrf,16.33,24.59,0.34,0.979,64.1,0.922,0.0,0.0,0.094,partial
