control_event_id,building_id,timestamp_start,timestamp_end,control_type,control_magnitude,trigger_type
CE_0D015709AF83,BLDG_4147382781AC,2023-05-07 21:00:00,2023-05-07 22:43:14.421601,hvac_reset,0.133,system_fault
CE_FB887F24DBAB,BLDG_4147382781AC,2023-05-21 10:00:00,2023-05-21 13:37:26.101926,load_shedding,0.107,manual_override
CE_33B050EAE3BD,BLDG_4147382781AC,2023-09-10 10:00:00,2023-09-10 12:41:53.855494,lighting_dimming,0.122,weather_condition
CE_1646B61B1E5A,BLDG_4147382781AC,2023-02-18 12:00:00,2023-02-18 15:23:30.777722,lighting_dimming,0.242,tariff_response
CE_833EA82ED12A,BLDG_4147382781AC,2023-03-31 17:00:00,2023-03-31 19:56:26.868505,lighting_dimming,0.311,weather_condition
CE_FE1B7FE14B09,BLDG_4147382781AC,2023-06-05 21:00:00,2023-06-05 23:12:33.306421,load_shedding,0.26,system_fault
CE_AD6B1570D4E4,BLDG_4147382781AC,2023-01-11 20:00:00,2023-01-11 21:36:32.950187,load_shedding,0.379,system_fault
CE_1C9B3EAE7E21,BLDG_4147382781AC,2023-11-28 12:00:00,2023-11-28 15:52:14.085074,lighting_dimming,0.193,manual_override
CE_72FEFF817CA2,BLDG_7B914089B781,2023-08-21 21:00:00,2023-08-22 00:20:24.251226,setpoint_adjustment,0.375,weather_condition
CE_2387B72BA2CE,BLDG_7B914089B781,2023-06-25 12:00:00,2023-06-25 13:43:24.193472,lighting_dimming,0.273,weather_condition
CE_D1B2BB5D7ADB,BLDG_7B914089B781,2023-08-02 20:00:00,2023-08-02 22:59:12.177383,hvac_reset,0.256,weather_condition
CE_E564A33086EE,BLDG_7B914089B781,2023-02-06 18:00:00,2023-02-06 18:47:53.044397,lighting_dimming,0.205,manual_override
CE_374F7428E1E0,BLDG_7B914089B781,2023-12-20 19:00:00,2023-12-20 21:27:24.204834,lighting_dimming,0.336,weather_condition
CE_A6DC00A26653,BLDG_7B914089B781,2023-02-19 19:00:00,2023-02-19 22:37:07.965605,setpoint_adjustment,0.322,weather_condition
CE_84BDDC85F8DC,BLDG_7B914089B781,2023-01-31 09:00:00,2023-01-31 12:09:32.417519,lighting_dimming,0.105,weather_condition
CE_923D1F6D45DB,BLDG_7B914089B781,2023-12-04 08:00:00,2023-12-04 09:57:01.525287,hvac_reset,0.174,tariff_response
CE_2288963796EE,BLDG_7B914089B781,2023-09-21 11:00:00,2023-09-21 13:13:00.371212,lighting_dimming,0.169,manual_override
CE_0F21F2B619FC,BLDG_7B914089B781,2023-06-13 18:00:00,2023-06-13 19:55:56.257997,hvac_reset,0.054,manual_override
CE_C436FD3CEB87,BLDG_7B914089B781,2023-09-05 10:00:00,2023-09-05 11:36:23.959594,lighting_dimming,0.214,tariff_response
CE_A77ABC649B91,BLDG_7B914089B781,2023-04-12 10:00:00,2023-04-12 11:31:31.889281,load_shedding,0.253,manual_override
CE_BCE38F86C6EA,BLDG_7B914089B781,2023-09-09 08:00:00,2023-09-09 08:53:24.346591,load_shedding,0.332,manual_override
CE_E3CACF0D01D7,BLDG_7B914089B781,2023-02-22 19:00:00,2023-02-22 22:56:20.378139,hvac_reset,0.091,manual_override
CE_D831245A99DC,BLDG_7B914089B781,2023-01-27 19:00:00,2023-01-27 22:58:51.516179,setpoint_adjustment,0.063,manual_override
CE_2CDA484808E8,BLDG_7B914089B781,2023-02-22 08:00:00,2023-02-22 10:18:31.221183,load_shedding,0.314,weather_condition
CE_D01250F43FAE,BLDG_7B914089B781,2023-09-15 09:00:00,2023-09-15 11:20:07.353481,hvac_reset,0.397,weather_condition
CE_ACC906981404,BLDG_7B914089B781,2023-03-28 09:00:00,2023-03-28 12:30:08.998981,hvac_reset,0.147,weather_condition
CE_284AEA948A73,BLDG_7B914089B781,2023-02-10 20:00:00,2023-02-10 20:57:13.438444,setpoint_adjustment,0.252,system_fault
CE_3B523B9F10BF,BLDG_7B914089B781,2023-10-26 08:00:00,2023-10-26 09:23:56.228804,load_shedding,0.157,weather_condition
CE_48D2BA8D4E4E,BLDG_7B914089B781,2023-07-04 10:00:00,2023-07-04 12:42:51.899205,setpoint_adjustment,0.263,tariff_response
CE_D05AA734674F,BLDG_7B914089B781,2023-08-09 11:00:00,2023-08-09 12:47:09.798869,setpoint_adjustment,0.375,system_fault
CE_7512BB334DEA,BLDG_7B914089B781,2023-08-27 11:00:00,2023-08-27 12:14:20.483515,setpoint_adjustment,0.089,tariff_response
CE_B2A9688052A5,BLDG_7B914089B781,2023-08-06 21:00:00,2023-08-06 22:02:33.538506,lighting_dimming,0.397,manual_override
CE_D2DC1A45C47D,BLDG_7B914089B781,2023-04-22 08:00:00,2023-04-22 09:27:35.934784,hvac_reset,0.185,system_fault
CE_C30E88379A81,BLDG_391E1A9D2E49,2023-01-23 11:00:00,2023-01-23 12:08:41.631173,setpoint_adjustment,0.221,system_fault
CE_280A004A9B0B,BLDG_391E1A9D2E49,2023-03-21 10:00:00,2023-03-21 11:04:11.350009,hvac_reset,0.208,manual_override
CE_E250E74669A3,BLDG_391E1A9D2E49,2023-04-12 08:00:00,2023-04-12 09:29:52.322009,setpoint_adjustment,0.293,tariff_response
CE_B879EF2FE0B7,BLDG_391E1A9D2E49,2023-11-18 10:00:00,2023-11-18 11:03:03.783382,load_shedding,0.362,system_fault
CE_E04F773F0606,BLDG_391E1A9D2E49,2023-09-27 10:00:00,2023-09-27 11:28:41.318038,load_shedding,0.256,weather_condition
CE_60559209777C,BLDG_391E1A9D2E49,2023-11-05 12:00:00,2023-11-05 14:22:56.621253,load_shedding,0.139,tariff_response
CE_0E521C4F08EC,BLDG_391E1A9D2E49,2023-12-29 12:00:00,2023-12-29 15:39:05.457606,load_shedding,0.135,tariff_response
CE_907FB2D5CC18,BLDG_391E1A9D2E49,2023-06-25 12:00:00,2023-06-25 13:54:09.387756,lighting_dimming,0.377,system_fault
CE_DD8825383806,BLDG_391E1A9D2E49,2023-05-05 21:00:00,2023-05-05 22:14:50.953101,lighting_dimming,0.277,system_fault
CE_8C88C92DBCB4,BLDG_353D16F54302,2023-06-04 11:00:00,2023-06-04 11:43:07.026468,setpoint_adjustment,0.289,tariff_response
CE_BE70A29547FB,BLDG_353D16F54302,2023-05-24 21:00:00,2023-05-24 22:33:43.648202,load_shedding,0.129,manual_override
CE_5A150C45FC7E,BLDG_353D16F54302,2023-10-14 10:00:00,2023-10-14 12:13:30.810459,setpoint_adjustment,0.137,system_fault
CE_CE5A234B7B6D,BLDG_353D16F54302,2023-03-30 19:00:00,2023-03-30 22:56:24.514610,lighting_dimming,0.099,weather_condition
CE_CFBD71E365DA,BLDG_353D16F54302,2023-08-31 20:00:00,2023-08-31 22:33:58.117632,lighting_dimming,0.261,tariff_response
CE_7D2C935F59E3,BLDG_353D16F54302,2023-02-27 19:00:00,2023-02-27 21:05:20.383963,hvac_reset,0.141,tariff_response
CE_502D07258B8E,BLDG_353D16F54302,2023-07-25 17:00:00,2023-07-25 17:53:54.825615,setpoint_adjustment,0.128,tariff_response
CE_79F3025AD380,BLDG_353D16F54302,2023-01-31 21:00:00,2023-01-31 22:19:18.449491,setpoint_adjustment,0.386,tariff_response
CE_13F1F0BEE2A7,BLDG_C85DFC431E68,2023-11-12 11:00:00,2023-11-12 12:00:54.870815,setpoint_adjustment,0.06,manual_override
CE_EAB12E8CDF91,BLDG_C85DFC431E68,2023-10-07 21:00:00,2023-10-07 21:50:12.750775,setpoint_adjustment,0.056,system_fault
CE_51E5A9EBBC48,BLDG_C85DFC431E68,2023-01-04 21:00:00,2023-01-04 21:54:12.139047,lighting_dimming,0.071,manual_override
CE_2847D8D922B1,BLDG_C85DFC431E68,2023-11-10 19:00:00,2023-11-10 20:25:48.148589,load_shedding,0.169,tariff_response
CE_DEED335EB486,BLDG_C85DFC431E68,2023-12-12 19:00:00,2023-12-12 21:38:34.045117,lighting_dimming,0.137,tariff_response
CE_DBF1A9578BFD,BLDG_C85DFC431E68,2023-02-17 11:00:00,2023-02-17 11:49:13.703777,setpoint_adjustment,0.391,weather_condition
CE_FB07CFC6EEB9,BLDG_C85DFC431E68,2023-09-12 11:00:00,2023-09-12 13:40:23.072383,load_shedding,0.332,weather_condition
CE_47DC78410ED5,BLDG_C85DFC431E68,2023-07-07 19:00:00,2023-07-07 21:06:05.054085,lighting_dimming,0.358,system_fault
CE_F822ED88CC2A,BLDG_C85DFC431E68,2023-08-11 19:00:00,2023-08-11 22:21:51.134493,load_shedding,0.384,tariff_response
CE_FCCE307CC809,BLDG_C85DFC431E68,2023-03-20 09:00:00,2023-03-20 09:57:42.134029,setpoint_adjustment,0.189,tariff_response
CE_33B0231DB949,BLDG_C85DFC431E68,2023-11-13 10:00:00,2023-11-13 12:41:58.093292,load_shedding,0.29,system_fault
CE_A7C2EE245D39,BLDG_C85DFC431E68,2023-09-28 20:00:00,2023-09-28 21:20:11.301979,lighting_dimming,0.306,weather_condition
CE_7206E734C2B0,BLDG_C85DFC431E68,2023-08-27 20:00:00,2023-08-27 23:01:53.558245,load_shedding,0.307,tariff_response
CE_7D9956976C4B,BLDG_C85DFC431E68,2023-07-26 20:00:00,2023-07-26 20:46:08.576639,setpoint_adjustment,0.09,weather_condition
CE_0D91C9B69306,BLDG_C85DFC431E68,2023-03-28 11:00:00,2023-03-28 12:15:58.253380,lighting_dimming,0.331,weather_condition
CE_C59D461E14AA,BLDG_C85DFC431E68,2023-12-21 20:00:00,2023-12-21 20:39:55.144613,lighting_dimming,0.294,manual_override
CE_1652C253B2B9,BLDG_C85DFC431E68,2023-04-10 09:00:00,2023-04-10 12:57:53.989302,load_shedding,0.334,manual_override
CE_721A68CCE26F,BLDG_C85DFC431E68,2023-04-19 21:00:00,2023-04-19 22:27:54.608993,load_shedding,0.258,tariff_response
CE_5557EBE1E600,BLDG_C85DFC431E68,2023-02-01 11:00:00,2023-02-01 14:24:05.163067,load_shedding,0.297,tariff_response
