equipment_id,building_id,equipment_type,install_year,rated_power,design_efficiency,maintenance_interval_days,expected_life_years,control_strategy_type
EQUIP_03F02D6D0132,BLDG_4147382781AC,ahu,2019,24.53,1.0,60,15,sensor_based
EQUIP_82337C694554,BLDG_4147382781AC,chiller,2022,124.86,4.249,90,20,manual
EQUIP_8E3E12D0B836,BLDG_4147382781AC,chiller,2021,408.26,4.233,90,20,scheduled
EQUIP_080418CB3E5D,BLDG_4147382781AC,lighting_panel,2020,28.2,1.0,180,20,sensor_based
EQUIP_93D613E45AD8,BLDG_4147382781AC,ahu,2020,12.88,1.0,60,15,scheduled
EQUIP_0F6299DACFC9,BLDG_7B914089B781,ahu,2020,46.08,1.0,60,15,scheduled
EQUIP_32AC664D9C7F,BLDG_7B914089B781,pump,2020,8.4,1.0,120,15,scheduled
EQUIP_0B73E05B1248,BLDG_7B914089B781,pump,2022,16.85,1.0,120,15,scheduled
EQUIP_C18433E70883,BLDG_7B914089B781,pump,2022,28.9,1.0,120,15,scheduled
EQUIP_FD7C64ADA7C7,BLDG_7B914089B781,pump,2018,29.98,1.0,120,15,manual
EQUIP_7B0DEA4568F6,BLDG_7B914089B781,ahu,2020,30.74,1.0,60,15,sensor_based
EQUIP_9DFA23629290,BLDG_7B914089B781,pump,2017,29.36,1.0,120,15,scheduled
EQUIP_4EF9EAEFDAD9,BLDG_391E1A9D2E49,chiller,2023,385.33,5.582,90,20,scheduled
EQUIP_250B894B6DAC,BLDG_391E1A9D2E49,ahu,2023,41.09,1.0,60,15,manual
EQUIP_C5E01307527A,BLDG_391E1A9D2E49,pump,2008,19.22,1.0,120,15,sensor_based
EQUIP_F5EEEA9760E5,BLDG_353D16F54302,refrigeration_unit,2019,2.93,2.73,90,12,manual
EQUIP_FC92853B150D,BLDG_353D16F54302,chiller,2016,197.02,4.539,90,20,manual
EQUIP_85377D5BC9DD,BLDG_353D16F54302,ahu,2020,44.44,1.0,60,15,sensor_based
EQUIP_296D6B2E9437,BLDG_C85DFC431E68,split_ac,2008,18.45,4.388,90,12,scheduled
EQUIP_28EC680358D3,BLDG_C85DFC431E68,lighting_panel,2010,81.4,1.0,180,20,manual
EQUIP_A6459BAA31AB,BLDG_C85DFC431E68,split_ac,2007,17.48,3.948,90,12,scheduled
EQUIP_8271301F38D8,BLDG_C85DFC431E68,lighting_panel,2011,13.58,1.0,180,20,scheduled
EQUIP_04A6F7EED01E,BLDG_C85DFC431E68,lighting_panel,2003,48.2,1.0,180,20,sensor_based
EQUIP_EB72BEB2F9FB,BLDG_3EA6E790CB36,lighting_panel,2021,94.33,1.0,180,20,manual
EQUIP_2D3C58D14B6B,BLDG_3EA6E790CB36,lighting_panel,2011,63.86,1.0,180,20,scheduled
EQUIP_EF3BDDCAAA2B,BLDG_3EA6E790CB36,ahu,2021,7.84,1.0,60,15,sensor_based
EQUIP_33E02AD8B369,BLDG_3EA6E790CB36,refrigeration_unit,2021,13.43,2.28,90,12,manual
EQUIP_063FF62F90F1,BLDG_3EA6E790CB36,refrigeration_unit,2018,5.25,2.47,90,12,sensor_based
EQUIP_36098144E4BE,BLDG_BB96B7FB1456,lighting_panel,2014,40.25,1.0,180,20,sensor_based
EQUIP_04D59E3E6AD5,BLDG_BB96B7FB1456,refrigeration_unit,2013,18.45,3.453,90,12,scheduled
EQUIP_E12A8694741E,BLDG_BB96B7FB1456,chiller,2015,327.04,5.848,90,20,scheduled
EQUIP_8E42E43609B7,BLDG_BB96B7FB1456,chiller,2022,216.74,4.608,90,20,manual
EQUIP_B1C01BCA021D,BLDG_2137A5E3B876,split_ac,2021,8.61,4.303,90,12,sensor_based
EQUIP_9B7D236E2123,BLDG_2137A5E3B876,ahu,2001,22.92,1.0,60,15,manual
EQUIP_921E5592AAFC,BLDG_2137A5E3B876,ahu,2002,34.82,1.0,60,15,sensor_based
EQUIP_FFD9FAE22B87,BLDG_2137A5E3B876,split_ac,2001,16.16,2.987,90,12,manual
EQUIP_83ED2A74E96A,BLDG_2137A5E3B876,lighting_panel,2006,11.52,1.0,180,20,manual
EQUIP_7D0FB1E2DA81,BLDG_22A30FDCEC09,ahu,2007,19.79,1.0,60,15,sensor_based
EQUIP_939ABC5EC593,BLDG_22A30FDCEC09,chiller,2008,436.28,3.862,90,20,manual
EQUIP_9CAC69A58D30,BLDG_22A30FDCEC09,refrigeration_unit,2008,24.36,2.22,90,12,manual
EQUIP_5E998A14A6D6,BLDG_22A30FDCEC09,ahu,2000,21.12,1.0,60,15,sensor_based
EQUIP_4DB611D94911,BLDG_22A30FDCEC09,pump,2000,6.05,1.0,120,15,sensor_based
EQUIP_6CF4CB22A7E7,BLDG_22A30FDCEC09,lighting_panel,2016,15.8,1.0,180,20,scheduled
EQUIP_5A89EDF746A1,BLDG_22A30FDCEC09,pump,2016,18.22,1.0,120,15,manual
EQUIP_B6611CC70F57,BLDG_F090925C23CB,chiller,2023,402.45,5.667,90,20,sensor_based
EQUIP_50FB299C533E,BLDG_F090925C23CB,pump,2014,19.66,1.0,120,15,scheduled
EQUIP_BC724389073F,BLDG_F090925C23CB,lighting_panel,2013,70.18,1.0,180,20,scheduled
EQUIP_0BAC215E26D9,BLDG_F090925C23CB,chiller,2002,194.95,3.871,90,20,manual
EQUIP_68AD277A7C59,BLDG_F090925C23CB,pump,2019,19.36,1.0,120,15,scheduled
EQUIP_21C6BA712CC7,BLDG_F090925C23CB,lighting_panel,2019,55.4,1.0,180,20,sensor_based
EQUIP_87BB72BD68ED,BLDG_F090925C23CB,lighting_panel,2003,80.34,1.0,180,20,sensor_based
EQUIP_CDDF1301AC3A,BLDG_B6C414BCBB68,ahu,2013,25.32,1.0,60,15,scheduled
EQUIP_AC585AB753B7,BLDG_B6C414BCBB68,lighting_panel,2012,44.52,1.0,180,20,scheduled
EQUIP_B332E7D14FFE,BLDG_B6C414BCBB68,refrigeration_unit,2021,9.14,3.907,90,12,sensor_based
EQUIP_317866CFCEA4,BLDG_B6C414BCBB68,lighting_panel,2002,13.67,1.0,180,20,scheduled
EQUIP_1BD7A492D117,BLDG_B6C414BCBB68,chiller,2023,382.46,5.529,90,20,sensor_based
EQUIP_003F451F99F4,BLDG_B6C414BCBB68,chiller,2018,480.48,4.904,90,20,sensor_based
EQUIP_32719DBE4053,BLDG_B6C414BCBB68,chiller,2013,209.12,5.163,90,20,scheduled
EQUIP_446CB0303011,BLDG_E5D0D3EEC91E,pump,2022,11.2,1.0,120,15,manual
EQUIP_3464B16A4FA3,BLDG_E5D0D3EEC91E,ahu,2023,15.09,1.0,60,15,sensor_based
EQUIP_B1009D33F069,BLDG_E5D0D3EEC91E,pump,2020,23.12,1.0,120,15,scheduled
EQUIP_EEA025F387B0,BLDG_5043911D9AAA,chiller,2019,468.09,5.574,90,20,scheduled
EQUIP_129C243FE06C,BLDG_5043911D9AAA,chiller,2005,172.97,5.406,90,20,scheduled
EQUIP_0EDEEF802200,BLDG_5043911D9AAA,pump,2000,6.26,1.0,120,15,sensor_based
EQUIP_757BB88EED0D,BLDG_5043911D9AAA,lighting_panel,2002,18.48,1.0,180,20,manual
EQUIP_0729844AD9E6,BLDG_5043911D9AAA,chiller,2023,288.72,4.44,90,20,scheduled
EQUIP_94FECFC6D366,BLDG_5043911D9AAA,pump,2005,11.73,1.0,120,15,sensor_based
EQUIP_F9D0A57BEA5A,BLDG_5043911D9AAA,chiller,2001,120.01,5.386,90,20,manual
EQUIP_16995835080C,BLDG_A639D294C105,pump,2014,20.2,1.0,120,15,scheduled
EQUIP_5F08B13AF5A8,BLDG_A639D294C105,lighting_panel,2008,25.48,1.0,180,20,scheduled
EQUIP_C3DCA9D2B7B4,BLDG_A639D294C105,lighting_panel,2003,31.91,1.0,180,20,scheduled
EQUIP_1626051D1ECF,BLDG_2F6FDB7DF7CC,refrigeration_unit,2011,8.17,3.969,90,12,manual
EQUIP_65B982A00EA9,BLDG_2F6FDB7DF7CC,chiller,2014,185.64,4.028,90,20,manual
EQUIP_922F675A5213,BLDG_2F6FDB7DF7CC,refrigeration_unit,2015,11.19,2.015,90,12,sensor_based
EQUIP_6DF80F04CDE8,BLDG_2F6FDB7DF7CC,lighting_panel,2013,17.27,1.0,180,20,manual
EQUIP_CDBF731F5544,BLDG_2F6FDB7DF7CC,refrigeration_unit,2012,13.12,3.484,90,12,scheduled
EQUIP_A00275D4FE78,BLDG_2F6FDB7DF7CC,chiller,2018,464.52,5.655,90,20,sensor_based
EQUIP_7C91BA02F16B,BLDG_2F6FDB7DF7CC,lighting_panel,2020,43.42,1.0,180,20,scheduled
EQUIP_F3F67D0819FB,BLDG_EABD2161AAAE,lighting_panel,2000,96.79,1.0,180,20,sensor_based
EQUIP_E67EECB3C72C,BLDG_EABD2161AAAE,lighting_panel,2022,92.38,1.0,180,20,manual
EQUIP_10A799D8B35F,BLDG_EABD2161AAAE,ahu,2013,31.5,1.0,60,15,scheduled
EQUIP_3249FA1D46AC,BLDG_44384B9F5136,pump,2013,10.66,1.0,120,15,sensor_based
EQUIP_8DDC5F25D6F3,BLDG_44384B9F5136,chiller,2018,279.48,5.765,90,20,scheduled
EQUIP_C014528CC2CE,BLDG_44384B9F5136,pump,2021,28.79,1.0,120,15,manual
EQUIP_DF2993EF46C5,BLDG_44384B9F5136,ahu,2011,11.59,1.0,60,15,sensor_based
EQUIP_0BC006D383FC,BLDG_44384B9F5136,ahu,2022,39.16,1.0,60,15,sensor_based
EQUIP_2ED4042352E2,BLDG_C5E824E012AB,ahu,2023,30.37,1.0,60,15,sensor_based
EQUIP_B4F57D93DB2F,BLDG_C5E824E012AB,lighting_panel,2022,65.35,1.0,180,20,sensor_based
EQUIP_EBE62BBD6C5A,BLDG_C5E824E012AB,ahu,2018,24.79,1.0,60,15,sensor_based
EQUIP_53ABC033B9B5,BLDG_C5E824E012AB,ahu,2023,17.36,1.0,60,15,sensor_based
EQUIP_79B489C516EE,BLDG_C5E824E012AB,split_ac,2019,10.31,2.575,90,12,scheduled
EQUIP_2F0D96CE9A09,BLDG_C5E824E012AB,ahu,2017,34.01,1.0,60,15,manual
EQUIP_5C9C7FD0D4BF,BLDG_97A6D867807A,server_rack,2016,8.92,1.0,365,5,sensor_based
EQUIP_D9E9C68B8F55,BLDG_97A6D867807A,chiller,2014,459.07,4.929,90,20,manual
EQUIP_38AFD07CE16D,BLDG_97A6D867807A,pump,2019,14.79,1.0,120,15,manual
EQUIP_E3483C6CEEB7,BLDG_97A6D867807A,lighting_panel,2003,82.04,1.0,180,20,sensor_based
EQUIP_4685E718EF89,BLDG_97A6D867807A,chiller,2016,340.76,3.598,90,20,sensor_based
