site_id,timestamp,tou_period,price_per_kwh,demand_charge_flag,dynamic_price_event_flag,carbon_intensity
SITE_0001,2023-01-01 00:00:00,off_peak,0.0592,0,0,0.5637
SITE_0001,2023-01-01 01:00:00,off_peak,0.0599,0,0,0.5916
SITE_0001,2023-01-01 02:00:00,off_peak,0.0595,0,0,0.6195
SITE_0001,2023-01-01 03:00:00,off_peak,0.0598,0,0,0.5985
SITE_0001,2023-01-01 04:00:00,off_peak,0.0601,0,0,0.5955
SITE_0001,2023-01-01 05:00:00,off_peak,0.059,0,0,0.5748
SITE_0001,2023-01-01 06:00:00,shoulder,0.1085,0,0,0.5958
SITE_0001,2023-01-01 07:00:00,shoulder,0.1102,0,0,0.5985
SITE_0001,2023-01-01 08:00:00,peak,0.1673,1,0,0.5533
SITE_0001,2023-01-01 09:00:00,peak,0.1673,1,0,0.588
SITE_0001,2023-01-01 10:00:00,peak,0.1625,1,0,0.5836
SITE_0001,2023-01-01 11:00:00,peak,0.1623,1,0,0.5846
SITE_0001,2023-01-01 12:00:00,peak,0.1637,1,0,0.5939
SITE_0001,2023-01-01 13:00:00,shoulder,0.108,1,0,0.5696
SITE_0001,2023-01-01 14:00:00,shoulder,0.1117,1,0,0.5877
SITE_0001,2023-01-01 15:00:00,shoulder,0.1105,1,0,0.5815
SITE_0001,2023-01-01 16:00:00,shoulder,0.1088,1,0,0.5629
SITE_0001,2023-01-01 17:00:00,peak,0.1643,1,0,0.5538
SITE_0001,2023-01-01 18:00:00,peak,0.1634,1,0,0.5551
SITE_0001,2023-01-01 19:00:00,peak,0.1663,1,0,0.5986
SITE_0001,2023-01-01 20:00:00,peak,0.1621,1,0,0.6205
SITE_0001,2023-01-01 21:00:00,peak,0.1632,1,0,0.6249
SITE_0001,2023-01-01 22:00:00,shoulder,0.1398,0,1,0.6139
SITE_0001,2023-01-01 23:00:00,off_peak,0.061,0,0,0.636
SITE_0001,2023-01-02 00:00:00,off_peak,0.0604,0,0,0.5892
SITE_0001,2023-01-02 01:00:00,off_peak,0.0605,0,0,0.5712
SITE_0001,2023-01-02 02:00:00,off_peak,0.0598,0,0,0.5489
SITE_0001,2023-01-02 03:00:00,off_peak,0.0605,0,0,0.6141
SITE_0001,2023-01-02 04:00:00,off_peak,0.0602,0,0,0.6489
SITE_0001,2023-01-02 05:00:00,off_peak,0.0601,0,0,0.6124
SITE_0001,2023-01-02 06:00:00,shoulder,0.1117,0,0,0.5939
SITE_0001,2023-01-02 07:00:00,shoulder,0.1103,0,0,0.6026
SITE_0001,2023-01-02 08:00:00,peak,0.1637,1,0,0.5506
SITE_0001,2023-01-02 09:00:00,peak,0.1636,1,0,0.5321
SITE_0001,2023-01-02 10:00:00,peak,0.1675,1,0,0.6021
SITE_0001,2023-01-02 11:00:00,peak,0.1643,1,0,0.541
SITE_0001,2023-01-02 12:00:00,peak,0.1667,1,0,0.5648
SITE_0001,2023-01-02 13:00:00,shoulder,0.1093,1,0,0.5236
SITE_0001,2023-01-02 14:00:00,shoulder,0.1079,1,0,0.5904
SITE_0001,2023-01-02 15:00:00,shoulder,0.1376,1,1,0.6025
SITE_0001,2023-01-02 16:00:00,shoulder,0.1085,1,0,0.5975
SITE_0001,2023-01-02 17:00:00,peak,0.164,1,0,0.546
SITE_0001,2023-01-02 18:00:00,peak,0.1668,1,0,0.5736
SITE_0001,2023-01-02 19:00:00,peak,0.1618,1,0,0.603
SITE_0001,2023-01-02 20:00:00,peak,0.1657,1,0,0.5952
SITE_0001,2023-01-02 21:00:00,peak,0.1624,1,0,0.579
SITE_0001,2023-01-02 22:00:00,shoulder,0.1111,0,0,0.5814
SITE_0001,2023-01-02 23:00:00,off_peak,0.0604,0,0,0.6637
SITE_0001,2023-01-03 00:00:00,off_peak,0.0593,0,0,0.5702
SITE_0001,2023-01-03 01:00:00,off_peak,0.061,0,0,0.6077
SITE_0001,2023-01-03 02:00:00,off_peak,0.0612,0,0,0.5753
SITE_0001,2023-01-03 03:00:00,off_peak,0.0597,0,0,0.5743
