site_id,timestamp,dry_bulb_temp,relative_humidity,solar_irradiance,rainfall,cloud_cover,wind_speed,cooling_degree,apparent_temp,is_holiday,day_of_week,hour_of_day,month
SITE_0001,2023-01-01 00:00:00,26.25,83.59,30.46,0.0,49.7,1.98,0.0,30.25,0,7,0,1
SITE_0001,2023-01-01 01:00:00,25.83,89.41,0.0,0.0,51.5,2.92,0.0,29.57,0,7,1,1
SITE_0001,2023-01-01 02:00:00,25.38,87.05,0.0,0.0,43.6,0.94,0.0,30.0,0,7,2,1
SITE_0001,2023-01-01 03:00:00,25.22,82.56,0.0,0.0,44.7,1.1,0.0,29.17,0,7,3,1
SITE_0001,2023-01-01 04:00:00,26.74,81.2,0.0,1.94,41.0,1.7,0.24,30.93,0,7,4,1
SITE_0001,2023-01-01 05:00:00,26.84,82.44,0.0,0.0,44.4,1.34,0.34,31.48,0,7,5,1
SITE_0001,2023-01-01 06:00:00,27.22,78.52,0.0,0.0,39.9,2.7,0.72,30.66,0,7,6,1
SITE_0001,2023-01-01 07:00:00,26.94,79.9,66.5,0.0,81.7,2.48,0.44,30.54,0,7,7,1
SITE_0001,2023-01-01 08:00:00,28.01,75.24,392.12,0.35,16.3,1.7,1.51,32.18,0,7,8,1
SITE_0001,2023-01-01 09:00:00,27.63,76.38,405.21,0.0,34.2,3.02,1.13,30.81,0,7,9,1
SITE_0001,2023-01-01 10:00:00,28.37,80.09,559.68,0.0,27.4,2.63,1.87,32.7,0,7,10,1
SITE_0001,2023-01-01 11:00:00,28.84,78.97,523.81,3.42,37.2,1.22,2.34,34.29,0,7,11,1
SITE_0001,2023-01-01 12:00:00,29.47,76.64,569.36,0.0,38.9,3.31,2.97,33.53,0,7,12,1
SITE_0001,2023-01-01 13:00:00,30.07,79.18,63.31,0.0,90.6,1.82,3.57,35.89,0,7,13,1
SITE_0001,2023-01-01 14:00:00,29.35,76.1,364.13,0.0,55.6,2.25,2.85,34.01,0,7,14,1
SITE_0001,2023-01-01 15:00:00,28.36,73.69,471.81,0.0,28.2,2.0,1.86,32.32,0,7,15,1
SITE_0001,2023-01-01 16:00:00,27.56,78.03,196.84,0.0,57.4,2.6,1.06,31.2,0,7,16,1
SITE_0001,2023-01-01 17:00:00,28.1,80.65,163.94,0.0,35.4,1.96,1.6,32.81,0,7,17,1
SITE_0001,2023-01-01 18:00:00,27.39,86.21,0.0,1.18,35.6,2.65,0.89,31.88,0,7,18,1
SITE_0001,2023-01-01 19:00:00,26.81,85.46,37.72,2.2,46.1,2.43,0.31,31.02,0,7,19,1
SITE_0001,2023-01-01 20:00:00,26.54,85.3,0.0,0.0,14.9,1.35,0.04,31.33,0,7,20,1
SITE_0001,2023-01-01 21:00:00,26.53,83.94,0.08,1.36,30.1,2.83,0.03,30.13,0,7,21,1
SITE_0001,2023-01-01 22:00:00,26.32,79.66,15.04,0.65,57.1,3.31,0.0,28.98,0,7,22,1
SITE_0001,2023-01-01 23:00:00,27.24,84.8,1.54,0.0,26.8,1.74,0.74,32.11,0,7,23,1
SITE_0001,2023-01-02 00:00:00,27.67,89.74,0.18,0.0,53.1,1.85,1.17,33.32,0,1,0,1
SITE_0001,2023-01-02 01:00:00,27.64,85.81,0.0,1.5,48.0,3.04,1.14,31.96,0,1,1,1
SITE_0001,2023-01-02 02:00:00,26.68,84.66,0.0,0.0,52.2,2.49,0.18,30.68,0,1,2,1
SITE_0001,2023-01-02 03:00:00,27.62,78.92,5.2,0.0,42.8,3.29,1.12,30.91,0,1,3,1
SITE_0001,2023-01-02 04:00:00,26.87,75.07,5.94,0.0,47.8,2.52,0.37,29.84,0,1,4,1
SITE_0001,2023-01-02 05:00:00,27.6,72.78,5.86,0.0,43.5,1.56,1.1,31.35,0,1,5,1
SITE_0001,2023-01-02 06:00:00,29.28,74.01,13.13,3.36,22.1,1.37,2.78,34.23,0,1,6,1
SITE_0001,2023-01-02 07:00:00,30.1,76.91,143.67,0.0,46.4,1.44,3.6,35.89,0,1,7,1
SITE_0001,2023-01-02 08:00:00,30.15,71.82,339.77,4.53,28.4,1.97,3.65,34.88,0,1,8,1
SITE_0001,2023-01-02 09:00:00,30.42,71.95,134.7,0.0,80.8,1.45,3.92,35.69,0,1,9,1
SITE_0001,2023-01-02 10:00:00,29.24,75.29,508.43,0.0,36.6,2.82,2.74,33.32,0,1,10,1
SITE_0001,2023-01-02 11:00:00,28.84,74.12,710.01,0.0,17.3,3.42,2.34,32.12,0,1,11,1
SITE_0001,2023-01-02 12:00:00,28.67,72.24,524.31,0.0,42.6,1.43,2.17,33.01,0,1,12,1
SITE_0001,2023-01-02 13:00:00,28.46,74.9,677.41,4.16,22.9,2.95,1.96,31.96,0,1,13,1
SITE_0001,2023-01-02 14:00:00,28.77,79.74,544.67,0.0,30.9,2.53,2.27,33.37,0,1,14,1
SITE_0001,2023-01-02 15:00:00,28.27,83.63,244.52,0.0,61.6,4.33,1.77,31.8,0,1,15,1
SITE_0001,2023-01-02 16:00:00,28.47,84.97,235.25,2.03,42.6,1.05,1.97,34.59,0,1,16,1
SITE_0001,2023-01-02 17:00:00,27.31,92.48,218.71,1.09,12.0,0.99,0.81,33.66,0,1,17,1
SITE_0001,2023-01-02 18:00:00,27.74,96.3,10.99,0.0,41.9,1.18,1.24,34.71,0,1,18,1
SITE_0001,2023-01-02 19:00:00,28.98,99.34,16.58,0.0,60.5,2.24,2.48,36.48,0,1,19,1
SITE_0001,2023-01-02 20:00:00,28.73,99.33,0.0,0.0,30.6,0.97,2.23,36.94,0,1,20,1
SITE_0001,2023-01-02 21:00:00,27.75,100.0,0.0,0.22,35.0,2.61,1.25,34.18,0,1,21,1
SITE_0001,2023-01-02 22:00:00,26.49,99.36,20.65,1.08,71.8,1.04,0.0,33.07,0,1,22,1
SITE_0001,2023-01-02 23:00:00,26.23,100.0,0.0,0.0,39.7,1.16,0.0,32.63,0,1,23,1
SITE_0001,2023-01-03 00:00:00,26.1,91.74,30.86,0.0,20.5,4.31,0.0,29.29,0,2,0,1
SITE_0001,2023-01-03 01:00:00,25.78,89.64,46.96,3.68,40.9,2.73,0.0,29.65,0,2,1,1
SITE_0001,2023-01-03 02:00:00,25.81,86.82,0.0,3.06,41.0,2.36,0.0,29.65,0,2,2,1
SITE_0001,2023-01-03 03:00:00,25.54,91.75,1.42,0.0,50.3,2.77,0.0,29.48,0,2,3,1
SITE_0001,2023-01-03 04:00:00,25.91,87.59,17.7,0.0,43.1,1.76,0.0,30.31,0,2,4,1
SITE_0001,2023-01-03 05:00:00,26.12,83.51,29.05,0.0,54.3,2.67,0.0,29.55,0,2,5,1
SITE_0001,2023-01-03 06:00:00,27.14,79.07,11.03,0.0,53.2,1.56,0.64,31.4,0,2,6,1
SITE_0001,2023-01-03 07:00:00,26.51,73.39,186.29,0.0,30.0,4.84,0.01,27.49,0,2,7,1
SITE_0001,2023-01-03 08:00:00,26.73,71.96,252.69,0.0,43.9,3.54,0.23,28.56,0,2,8,1
SITE_0001,2023-01-03 09:00:00,26.79,75.7,421.83,0.0,36.4,1.94,0.29,30.2,0,2,9,1
SITE_0001,2023-01-03 10:00:00,26.52,82.5,307.11,4.52,56.0,1.78,0.02,30.68,0,2,10,1
SITE_0001,2023-01-03 11:00:00,25.77,84.16,439.64,0.0,49.4,1.42,0.0,29.96,0,2,11,1
SITE_0001,2023-01-03 12:00:00,26.0,81.78,405.66,1.28,54.6,1.47,0.0,30.01,0,2,12,1
SITE_0001,2023-01-03 13:00:00,26.53,86.24,582.18,0.0,33.5,2.94,0.03,30.31,0,2,13,1
SITE_0001,2023-01-03 14:00:00,27.03,89.33,510.49,0.0,32.8,4.39,0.53,30.45,0,2,14,1
SITE_0001,2023-01-03 15:00:00,25.36,93.21,410.38,0.0,35.5,1.58,0.0,30.18,0,2,15,1
SITE_0001,2023-01-03 16:00:00,25.31,95.55,227.65,0.0,51.6,2.33,0.0,29.82,0,2,16,1
SITE_0001,2023-01-03 17:00:00,24.23,91.26,160.8,0.0,34.9,2.3,0.0,27.7,0,2,17,1
SITE_0001,2023-01-03 18:00:00,25.08,92.08,45.52,0.0,40.8,2.73,0.0,28.81,0,2,18,1
SITE_0001,2023-01-03 19:00:00,24.78,96.11,36.32,0.0,58.0,2.11,0.0,29.19,0,2,19,1
SITE_0001,2023-01-03 20:00:00,25.57,89.3,0.0,0.0,51.8,1.13,0.0,30.41,0,2,20,1
SITE_0001,2023-01-03 21:00:00,26.36,82.93,7.25,0.0,11.3,2.96,0.0,29.66,0,2,21,1
SITE_0001,2023-01-03 22:00:00,26.88,84.61,14.0,0.0,62.1,2.08,0.38,31.28,0,2,22,1
SITE_0001,2023-01-03 23:00:00,26.68,83.63,0.0,1.61,44.4,2.64,0.18,30.46,0,2,23,1
SITE_0001,2023-01-04 00:00:00,26.47,87.42,0.0,1.83,16.1,2.23,0.0,30.85,0,3,0,1
SITE_0001,2023-01-04 01:00:00,25.96,82.87,10.71,0.0,19.5,3.78,0.0,28.46,0,3,1,1
SITE_0001,2023-01-04 02:00:00,26.9,80.86,4.85,0.0,35.4,6.19,0.4,28.0,0,3,2,1
