maintenance_event_id,equipment_id,timestamp,maintenance_type,downtime_hours,restoration
ME_3040BEB6E73A,EQUIP_003F451F99F4,2023-02-23 09:00:00,preventive,0.5,0.955
ME_63CDD9AEBEC1,EQUIP_003F451F99F4,2023-04-23 07:00:00,emergency,2.08,0.574
ME_9DE9E5AD82DD,EQUIP_003F451F99F4,2023-05-06 07:00:00,preventive,0.83,0.947
ME_C4F3FA77898D,EQUIP_003F451F99F4,2023-06-15 01:00:00,corrective,4.56,0.897
ME_1A4B5CAD2F79,EQUIP_003F451F99F4,2023-08-10 18:00:00,preventive,1.09,0.879
ME_028329AA01DB,EQUIP_003F451F99F4,2023-11-11 10:00:00,preventive,0.67,0.9
ME_91556D85E34C,EQUIP_0326C3E671FF,2023-04-06 14:00:00,preventive,0.87,0.957
ME_6CDBA8B50ED6,EQUIP_0326C3E671FF,2023-07-23 21:00:00,corrective,5.2,0.801
ME_6670285E05EA,EQUIP_0326C3E671FF,2023-10-02 14:00:00,preventive,0.84,0.97
ME_16149F76B416,EQUIP_03F02D6D0132,2023-02-05 18:00:00,preventive,1.16,0.925
ME_6C8A959B7731,EQUIP_03F02D6D0132,2023-04-03 16:00:00,preventive,2.43,0.99
ME_5D41B73A8372,EQUIP_03F02D6D0132,2023-06-05 07:00:00,preventive,1.24,0.943
ME_3273C4679E01,EQUIP_03F02D6D0132,2023-07-28 08:00:00,preventive,0.58,0.958
ME_A29D218E660B,EQUIP_03F02D6D0132,2023-10-01 14:00:00,preventive,1.17,0.994
ME_D723C1E06660,EQUIP_03F02D6D0132,2023-11-30 11:00:00,preventive,0.71,0.928
ME_E7B98AA598D2,EQUIP_0461FAB61D77,2023-02-23 11:00:00,preventive,1.44,0.991
ME_1367D2E52C41,EQUIP_0461FAB61D77,2023-03-18 13:00:00,corrective,21.06,0.701
ME_55761AFA641B,EQUIP_0461FAB61D77,2023-06-23 14:00:00,preventive,1.67,0.945
ME_8945AD8487C1,EQUIP_0461FAB61D77,2023-07-14 04:00:00,corrective,9.5,0.858
ME_74E8316850FA,EQUIP_0461FAB61D77,2023-10-15 15:00:00,corrective,9.88,0.893
ME_3D0325684137,EQUIP_0461FAB61D77,2023-10-20 18:00:00,preventive,0.9,0.955
ME_687F20D4CCBE,EQUIP_04A6F7EED01E,2023-03-20 16:00:00,preventive,1.01,0.986
ME_C3509A6AE0F7,EQUIP_04A6F7EED01E,2023-04-27 01:00:00,emergency,4.21,0.595
